Kategorie: Alle Kategorien

Woche,lebenslauf: (Deutschland)
2018-11-25,40
2018-12-02,40
2018-12-09,35
2018-12-16,30
2018-12-23,22
2018-12-30,32
2019-01-06,50
2019-01-13,61
2019-01-20,65
2019-01-27,47
2019-02-03,49
2019-02-10,51
2019-02-17,46
2019-02-24,44
2019-03-03,40
2019-03-10,38
2019-03-17,37
2019-03-24,40
2019-03-31,40
2019-04-07,34
2019-04-14,30
2019-04-21,32
2019-04-28,35
2019-05-05,41
2019-05-12,38
2019-05-19,39
2019-05-26,32
2019-06-02,36
2019-06-09,33
2019-06-16,34
2019-06-23,34
2019-06-30,42
2019-07-07,37
2019-07-14,35
2019-07-21,32
2019-07-28,32
2019-08-04,32
2019-08-11,34
2019-08-18,40
2019-08-25,37
2019-09-01,38
2019-09-08,44
2019-09-15,41
2019-09-22,39
2019-09-29,35
2019-10-06,35
2019-10-13,36
2019-10-20,40
2019-10-27,37
2019-11-03,40
2019-11-10,42
2019-11-17,41
2019-11-24,36
2019-12-01,35
2019-12-08,32
2019-12-15,30
2019-12-22,22
2019-12-29,28
2020-01-05,45
2020-01-12,49
2020-01-19,47
2020-01-26,52
2020-02-02,48
2020-02-09,47
2020-02-16,45
2020-02-23,41
2020-03-01,41
2020-03-08,33
2020-03-15,27
2020-03-22,32
2020-03-29,30
2020-04-05,25
2020-04-12,26
2020-04-19,30
2020-04-26,30
2020-05-03,31
2020-05-10,36
2020-05-17,31
2020-05-24,32
2020-05-31,31
2020-06-07,40
2020-06-14,35
2020-06-21,35
2020-06-28,37
2020-07-05,37
2020-07-12,35
2020-07-19,32
2020-07-26,32
2020-08-02,31
2020-08-09,32
2020-08-16,35
2020-08-23,35
2020-08-30,38
2020-09-06,42
2020-09-13,40
2020-09-20,39
2020-09-27,44
2020-10-04,36
2020-10-11,34
2020-10-18,33
2020-10-25,34
2020-11-01,35
2020-11-08,38
2020-11-15,39
2020-11-22,34
2020-11-29,33
2020-12-06,32
2020-12-13,29
2020-12-20,23
2020-12-27,24
2021-01-03,36
2021-01-10,46
2021-01-17,45
2021-01-24,44
2021-01-31,44
2021-02-07,41
2021-02-14,40
2021-02-21,38
2021-02-28,40
2021-03-07,36
2021-03-14,40
2021-03-21,33
2021-03-28,29
2021-04-04,30
2021-04-11,35
2021-04-18,36
2021-04-25,32
2021-05-02,33
2021-05-09,29
2021-05-16,35
2021-05-23,31
2021-05-30,29
2021-06-06,100
2021-06-13,42
2021-06-20,33
2021-06-27,35
2021-07-04,33
2021-07-11,33
2021-07-18,33
2021-07-25,33
2021-08-01,30
2021-08-08,29
2021-08-15,32
2021-08-22,34
2021-08-29,37
2021-09-05,38
2021-09-12,42
2021-09-19,42
2021-09-26,44
2021-10-03,36
2021-10-10,37
2021-10-17,36
2021-10-24,37
2021-10-31,35
2021-11-07,37
2021-11-14,34
2021-11-21,36
2021-11-28,34
2021-12-05,44
2021-12-12,40
2021-12-19,30
2021-12-26,29
2022-01-02,39
2022-01-09,48
2022-01-16,48
2022-01-23,56
2022-01-30,56
2022-02-06,53
2022-02-13,50
2022-02-20,52
2022-02-27,46
2022-03-06,45
2022-03-13,44
2022-03-20,42
2022-03-27,44
2022-04-03,39
2022-04-10,33
2022-04-17,32
2022-04-24,41
2022-05-01,38
2022-05-08,39
2022-05-15,36
2022-05-22,31
2022-05-29,34
2022-06-05,33
2022-06-12,34
2022-06-19,36
2022-06-26,36
2022-07-03,37
2022-07-10,38
2022-07-17,32
2022-07-24,32
2022-07-31,32
2022-08-07,32
2022-08-14,37
2022-08-21,37
2022-08-28,41
2022-09-04,46
2022-09-11,41
2022-09-18,41
2022-09-25,39
2022-10-02,37
2022-10-09,42
2022-10-16,38
2022-10-23,39
2022-10-30,36
2022-11-06,43
2022-11-13,40
2022-11-20,35
2022-11-27,34
2022-12-04,33
2022-12-11,28
2022-12-18,27
2022-12-25,24
2023-01-01,40
2023-01-08,52
2023-01-15,52
2023-01-22,50
2023-01-29,49
2023-02-05,55
2023-02-12,46
2023-02-19,45
2023-02-26,46
2023-03-05,44
2023-03-12,50
2023-03-19,41
2023-03-26,40
2023-04-02,32
2023-04-09,30
2023-04-16,36
2023-04-23,36
2023-04-30,34
2023-05-07,37
2023-05-14,32
2023-05-21,37
2023-05-28,33
2023-06-04,36
2023-06-11,37
2023-06-18,36
2023-06-25,37
